participant_id,lideranca_interesse_declarado,grupo_principal_preferido,grupo_alternativo_preferido,sugestao_lideranca_grupo,tipo_sugestao,status_lideranca_final,aptidao_score_geral,justificativa_bagagem,justificativa_topico_lda,justificativa_sentimento
1,"Sim, me sinto a vontade ajudando quem estiver a frente do grupo",G2 - API de Orquestração,G4 - SUPABASE (Banco de Dados),G1 - Automações Wix,Potencial Líder (Sugestão Algorítmica),Potencial Líder para Suporte,0.38,dedicação total ao movimento de aprendizagem,Tópico 1,Neutro/Positivo
2,"Não, quero apenas executar as atividades",G1 - Automações Wix,G4 - SUPABASE (Banco de Dados),N/A,N/A,Participante Comum,0.0,bem eu trazer um pouco de conhecimento de python do qual estou desenvolvendo e acredito que essa nova jornada vai enriquecer meus conhecimentos como também posso contribuir conhecimento para turma,Tópico 2,Positivo/Positivo
3,"Sim, me sinto a vontade ajudando quem estiver a frente do grupo",G2 - API de Orquestração,"G1 - Automações Wix, G4 - SUPABASE (Banco de Dados)",G1 - Automações Wix,Potencial Líder (Sugestão Algorítmica),Potencial Líder para Suporte,0.62,eu tenho alguns conhecimentos de python fiz o curso do transdevs de python básico e o da programaria de análise de dados meus primeiros passos em pyrhon,Tópico 2,Positivo/Positivo
4,"Não, quero apenas executar as atividades",G4 - SUPABASE (Banco de Dados),G3 - Integração WhatsApp,N/A,N/A,Participante Comum,0.0,tenho algum conhecimento em desenvolvimento e banco de dados mas como faz uns anos que estudei é algum conhecimento mesmo sou muito organizado e talvez até metódico amo planilhas,Tópico 5,Positivo/Positivo
5,"Sim, me sinto a vontade ajudando quem estiver a frente do grupo",G2 - API de Orquestração,G4 - SUPABASE (Banco de Dados),G1 - Automações Wix,Potencial Líder (Sugestão Algorítmica),Potencial Líder para Suporte,0.51,sou analista de qualidade há mais de anos e já atuei em diversos projetos tenho bastante conhecimento na dinâmica de criação de produtos assim como na avaliação de qualidade,Tópico 4,Positivo/Positivo
6,"Não, quero apenas executar as atividades",G2 - API de Orquestração,"G1 - Automações Wix, G4 - SUPABASE (Banco de Dados)",N/A,N/A,Participante Comum,0.0,mesmo sem ter conhecimento técnico ainda trazer na minha bagagem muita vontade de aprender dedicação e curiosidade gosto de ajudar e trabalhar em grupo acredito que juntos é mais fácil crescer e trocar experiências acho que minha motivação e disposição pra aprender vão contribuir bastante pra mim e pro grupo,Tópico 2,Positivo/Positivo
7,"Não, quero apenas executar as atividades",G4 - SUPABASE (Banco de Dados),G1 - Automações Wix,N/A,N/A,Participante Comum,0.0,trampei uns meses com uma equipe que mexia com análise de dados desenvolvi uns designs pra dashboard de power bi não saber se será útil,Tópico 3,Positivo/Neutro
8,"Não, quero apenas executar as atividades",G2 - API de Orquestração,G1 - Automações Wix,N/A,N/A,Participante Comum,0.0,sou capaz de aprender com certa velocidade e tenho empenho gosto de conhecer novas informações e pessoas trazer conhecimentos de um iniciante em python e sou capaz de aprender de modo autodidata assim que conheço as estruturas sobre determinado assunto desse modo posso me adaptar bem à maioria das dinâmicas em grupo e não terei medo de pedir ajuda e ajudar,Tópico 2,Positivo/Positivo
9,"Sim, me sinto a vontade ajudando quem estiver a frente do grupo",G4 - SUPABASE (Banco de Dados),G3 - Integração WhatsApp,G3 - Integração WhatsApp,Potencial Líder (Sugestão Algorítmica),Potencial Líder para Suporte,0.61,eu sou product manager atualmente comecei a trabalhar na area de produtos em como product owner tenho experiência em conduzir os ritos do scrum definição de métricas análise de comportamento do usuário etc tbm tenho experiência com planejamento de tarefassprints e acompanhamento,Tópico 4,Positivo/Neutro
10,"Sim, me sinto a vontade ajudando quem estiver a frente do grupo",G3 - Integração WhatsApp,G2 - API de Orquestração,G3 - Integração WhatsApp,Potencial Líder (Sugestão Algorítmica),Potencial Líder para Suporte,1.09,tenho anos de experiência em cx acredito que com esse olhar mais voltado pra experiência do cliente eu consiga agregar muito no resultado final de um projeto voltado pra usuários,Tópico 3,Positivo/Neutro
11,"Não, quero apenas executar as atividades",G4 - SUPABASE (Banco de Dados),G1 - Automações Wix,N/A,N/A,Participante Comum,0.0,vontade de aprender kkk organização bom trabalho em equipe experiência com administração e bom humor rs,Tópico 2,Positivo/Positivo
12,"Não, quero apenas executar as atividades",G4 - SUPABASE (Banco de Dados),"G2 - API de Orquestração, G3 - Integração WhatsApp",N/A,N/A,Participante Comum,0.0,conhecimento ágil conhecimento em análise de dados trabalho em equipe e vontade de aprender sempre,Tópico 2,Neutro/Positivo
13,"Sim, me sinto a vontade ajudando quem estiver a frente do grupo",G2 - API de Orquestração,"G1 - Automações Wix, G3 - Integração WhatsApp, G4 - SUPABASE (Banco de Dados)",G1 - Automações Wix,Potencial Líder (Sugestão Algorítmica),Potencial Líder para Suporte,0.48,os conhecimentos prévios de python e frontend a vontade de aprender mais e confiança,Tópico 1,Positivo/Positivo
14,"Não, quero apenas executar as atividades",G3 - Integração WhatsApp,G2 - API de Orquestração,N/A,N/A,Participante Comum,0.0,proatividade vontade de aprender um curso básico de python e um sonho,Tópico 4,Positivo/Positivo
15,"Não, quero apenas executar as atividades",G2 - API de Orquestração,Não tenho interesse por nenhuma outra opção,N/A,N/A,Participante Comum,0.0,o conhecimento adquirido na aula de python,Tópico 3,Positivo/Positivo
16,"Não, quero apenas executar as atividades",G4 - SUPABASE (Banco de Dados),G2 - API de Orquestração,N/A,N/A,Participante Comum,0.0,apenas python que foi o que aprendi com o curso trans devs,Tópico 5,Positivo/Positivo
17,"Sim, me sinto a vontade estando a frente e guiando o grupo",G4 - SUPABASE (Banco de Dados),G1 - Automações Wix,G4 - SUPABASE (Banco de Dados),N/A,Líder Direto Atribuído (Direta (Principal)),0.0,a minha experiencia em ter trabalhado com testes de qualidade e também já ter liderado equipes,Tópico 4,Positivo/Neutro
18,"Não, quero apenas executar as atividades",G1 - Automações Wix,G3 - Integração WhatsApp,N/A,N/A,Participante Comum,0.0,tenho uma boa criatividade mas fora isso eu não sirvo pra nada kkkkcrying,Tópico 3,Negativo/Neutro
19,"Não, quero apenas executar as atividades",G2 - API de Orquestração,G4 - SUPABASE (Banco de Dados),N/A,N/A,Participante Comum,0.0,ideas y ganas,Tópico 4,Positivo/Neutro
20,"Sim, me sinto a vontade estando a frente e guiando o grupo",G2 - API de Orquestração,"G1 - Automações Wix, G3 - Integração WhatsApp",G2 - API de Orquestração,N/A,Líder Direto Atribuído (Direta (Principal)),0.0,acho que pra essa experiência em específico acredito que curso de gerencia de projetos que eu fiz vai ser bem útil não saber se eu gostar de ser o tipo o scrum master da equipe pq n saber se tenho bagagem de programação suficiente pra isso mas poder agir como project manager ou product owner seria interessante,Tópico 3,Positivo/Neutro
21,"Sim, me sinto a vontade ajudando quem estiver a frente do grupo",G4 - SUPABASE (Banco de Dados),"G1 - Automações Wix, G2 - API de Orquestração, G3 - Integração WhatsApp",G1 - Automações Wix,Potencial Líder (Sugestão Algorítmica),Potencial Líder para Suporte,0.28,experiência em administração e em python,Tópico 1,Positivo/Neutro
22,"Não, quero apenas executar as atividades",G2 - API de Orquestração,G1 - Automações Wix,N/A,N/A,Participante Comum,0.0,um pouco do que saber de python,Tópico 5,Positivo/Neutro
23,"Não, quero apenas executar as atividades",G2 - API de Orquestração,"G1 - Automações Wix, G3 - Integração WhatsApp",N/A,N/A,Participante Comum,0.0,estou atualmente no curso dr ciência da computação na unisinos em porto alegre,Tópico 5,Neutro/Neutro
24,"Não, quero apenas executar as atividades",G2 - API de Orquestração,G4 - SUPABASE (Banco de Dados),N/A,N/A,Participante Comum,0.0,conhecimento básico em front end ajudaria em algo kkkk não saber muita coisa mais tenho muita vontade de aprender,Tópico 2,Positivo/Positivo
25,"Não, quero apenas executar as atividades",G4 - SUPABASE (Banco de Dados),G3 - Integração WhatsApp,N/A,N/A,Participante Comum,0.0,algumas experiências anteriores com programação e analise de dados,Tópico 4,Positivo/Neutro
27,"Não, quero apenas executar as atividades",G4 - SUPABASE (Banco de Dados),"G1 - Automações Wix, G2 - API de Orquestração, G3 - Integração WhatsApp",N/A,N/A,Participante Comum,0.0,html c e muito lacre,Tópico 5,Neutro/Neutro
28,"Não, quero apenas executar as atividades",G2 - API de Orquestração,Não tenho interesse por nenhuma outra opção,N/A,N/A,Participante Comum,0.0,a vontade de aprender,Tópico 4,Positivo/Positivo
29,"Não, quero apenas executar as atividades",G4 - SUPABASE (Banco de Dados),G4 - SUPABASE (Banco de Dados),N/A,N/A,Participante Comum,0.0,para ser franco acredito que nada,Tópico 5,Neutro/Neutro
30,"Não, quero apenas executar as atividades",G2 - API de Orquestração,"G1 - Automações Wix, G4 - SUPABASE (Banco de Dados)",N/A,N/A,Participante Comum,0.0,conhecimento com python,Tópico 4,Neutro/Positivo
